Week,Month,Date,Day,Module,Topic,Reading,Quizzes,Projects
1,Jan,10,Mon,,Introduction,-,,
1,Jan,12,Wed,Discrete,"State, probability, and actions",Chapter 1 and Section 2.1,,
2,Jan,17,Mon,,MLK,-,,
2,Jan,19,Wed,Discrete,Sensor Models,Sections 2.2 - 2.4,,
3,Jan,24,Mon,Discrete,Bayes Law,-,,Project 1 Release: Probability and Decision Theory
3,Jan,26,Wed,Discrete,Decision Theory,-,,
4,Jan,31,Mon,Vacuum,Probabilistic Actions,Section 2.5,Quiz 1,
4,Feb,2,Wed,Vacuum,Inference in HMMs,-,,
5,Feb,7,Mon,Vacuum,"Inference, MDPs",-,,Project 2 Release: HMM and MDP
5,Feb,9,Wed,Vacuum,MDPs,-,,
6,Feb,14,Mon,Logistics,Omnidirectional wheels,-,Quiz 2,
6,Feb,16,Wed,Logistics,LIDAR sensing,-,,
7,Feb,21,Mon,Logistics,Monte Carlo Localization,-,,Project 3 Release: Particle Filters
7,Feb,23,Wed,Logistics,Planning,-,,
8,Feb,28,Mon,Duckiebot,SE(2),-,Quiz 3,
8,Mar,2,Wed,Duckiebot,Differential Drive,-,,
9,Mar,7,Mon,Duckiebot,Inference with Deep Nets,-,,Project 4 Release: Deep Learning
9,Mar,9,Wed,Duckiebot,Deep Learning,-,,
10,Mar,14,Mon,Vehicles,Autonomous Vehicles,-,Quiz 4,
10,Mar,16,Wed,Vehicles,Ackerman steering,-,,
11,Mar,21,Mon,Spring Break! ,,,,
11,Mar,23,Wed,,,,,
12,Mar,28,Mon,Vehicles,SLAM with 3D LIDAR,-,,Project 5 Release: Pose SLAM and LIDAR
12,Mar,30,Wed,Vehicles,Planning for Avs,-,,
13,Apr,4,Mon,Drone,SE(3),-,Quiz 5,
13,Apr,6,Wed,Drone,RRTs for motion planning,-,,
14,Apr,11,Mon,Drone,Visual Odometry,-,,Project 6 Release: RRT and/or Trajectory Optimization
15,Apr,13,Wed,Drone,Trajectory Optimization,-,,
15,Apr,18,Mon,Extra,Guest Lecture TBD,-,Quiz 6,
16,Apr,20,Wed,Extra,Guest Lecture TBD,-,,
16,Apr,25,Mon,Extra,Guest Lecture TBD,-,,
