Week,Month,Date,Day,Parts,Instructor,Topic,Slides,Reading,Projects,Quizzes
1,Jan,6,Mon,,Seth,Introduction,L1_Course_Overview,-,,
1,Jan,8,Wed,,Seth,Sense-Think-Act,L2_Sense_Think_Act,-,1 out,
2,Jan,13,Mon,Agents,Frank,Probability and Bayes Nets,L3_Probability_Bayes_Nets,1-Bayes-nets,,
2,Jan,15,Wed,,Frank,Inference in HMMs,L4_HMM_Inference,1-hmm-inference-diff,,
3,Jan,20,Mon,,<<< MLK Holiday >>>,<<< MLK Holiday >>>,-,-,,
3,Jan,22,Wed,,Frank,Inference in Graphical Models,L5_General_Inference,1-hmm-inference,1 due - 2 out,
4,Jan,27,Mon,A DiffDrive Robot,Seth,Kinematics in the Plane,L6_Pose_in_the_Plane,-,,Quiz 1
4,Jan,29,Wed,,Seth,Continuous Path Planning,L7_DD_Motion_Planning,-,,
5,Feb,3,Mon,,Frank,Monte Carlo Inference,L8_Monte_Carlo_Inference,2-Monte-Carlo-inference,2 due - 3 out,
5,Feb,5,Wed,,Seth,Sampling-based Planning,L9_Sampling-Based_Planning,-,,
6,Feb,10,Mon,Planar Manipulators,Frank,Forward Kinematics,L10_kinematics_planar_arms,-,,Quiz 2
6,Feb,12,Wed,,Frank,Jacobians and Trajectory Control,-,-,,
7,Feb,17,Mon,,Seth,Inverse Kinematics,-,-,3 due - 4 out,
7,Feb,19,Wed,,Seth,RRT and Probabilistic Roadmaps,-,-,,
8,Feb,24,Mon,Vision for Robots,Frank,Computer Vision Fundamentals,-,-,,Quiz 3
8,Feb,26,Wed,,Frank,Pinhole and Stereo Cameras,-,-,,
9,Mar,2,Mon,,Seth,Segmentation and Line Detection,-,-,4 due - 5 out,
9,Mar,4,Wed,,Seth,Visual Servoing,-,-,,
10,Mar,9,Mon,Self-Driving Cars,Seth,Autonomous Vehicles,-,-,,Quiz 4
10,Mar,11,Wed,,Frank,Place Recognition,-,-,,
11,Mar,16,Mon,,<<< Spring Break >>>,<<< Spring Break >>>,-,-,,
11,Mar,18,Wed,,<<< Spring Break >>>,<<< Spring Break >>>,-,-,,
12,Mar,23,Mon,,Frank,SLAM with LIDAR,-,-,5 due - 6 out,
12,Mar,25,Wed,,Seth,Motion Planning for Driving,-,-,,
13,Mar,30,Mon,Visual SLAM,Frank,Two-view Geometry and RANSAC,-,-,,Quiz 5
13,Apr,1,Wed,,Frank,Visual Odometry,-,-,,
14,Apr,6,Mon,,Seth,Feature Detection,-,-,6 due - 7 out,
14,Apr,8,Wed,,Frank,Structure from Motion,-,-,,
15,Apr,13,Mon,Learning,Seth,Reinforcement Learning,-,-,,Quiz 6
15,Apr,15,Wed,,Frank,Deep Reinforcement Learning,-,-,,
16,Apr,20,Mon,,Frank,Deep Learning for Robot Vision,-,-,7 due,
,Apr,29,Wed,No exam: regular quiz,,2:40 PM ‐ 5:30 PM,-,-,,Quiz 7
